| user_id | past_claim_count | accept_claim | manual_review_claim | rejected_claim | last_90_days_claim_count | history_flags                            | history_summary                                                                  |
| ------- | ---------------- | ------------ | ------------------- | -------------- | ------------------------ | ---------------------------------------- | -------------------------------------------------------------------------------- |
| U001    | 4                | 3            | 1                   | 0              | 1                        | none                                     | Low claim volume with mostly accepted claims and no significant risk indicators. |
| U002    | 15               | 9            | 3                   | 3              | 7                        | none                                     | Moderate claim activity with a balanced history of approvals and reviews.        |
| U003    | 28               | 12           | 8                   | 8              | 13                       | user_history_risk                        | High claim frequency and elevated rejection rate within recent claim history.    |
| U004    | 2                | 2            | 0                   | 0              | 1                        | none                                     | Limited claim history with all previous claims accepted.                         |
| U005    | 35               | 16           | 10                  | 9              | 18                       | user_history_risk;manual_review_required | Frequent claimant with multiple rejected and manually reviewed claims.           |
| U006    | 9                | 8            | 1                   | 0              | 2                        | none                                     | Strong approval history with minimal review requirements.                        |
| U007    | 21               | 10           | 6                   | 5              | 11                       | manual_review_required                   | Repeated claims often requiring manual verification.                             |
| U008    | 6                | 5            | 1                   | 0              | 2                        | none                                     | Consistent claim behavior with low operational risk.                             |
| U009    | 18               | 7            | 4                   | 7              | 10                       | user_history_risk                        | Higher-than-average rejection rate and elevated recent activity.                 |
| U010    | 11               | 10           | 1                   | 0              | 3                        | none                                     | Stable history with strong approval performance and low risk.                    |
